,app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
4,RevMax,MED+RG,732.0,209.7155249118805,209.7055370807648,0.0,64,64,100000,32,1,1
5,RevMax,MED+RG,1436.0,593.1190559864044,593.1032149791718,0.0,128,128,100000,32,1,1
6,RevMax,MED+RG,2844.0,1178.7560820579529,1178.7390909194946,0.0,256,256,100000,32,1,1
7,RevMax,MED+RG,5660.0,2765.881870031357,2765.870507955551,0.0,512,512,100000,32,1,1
8,RevMax,MED+RG,11292.0,5552.358730077744,5552.341805934906,0.0,1024,1024,100000,32,1,1
9,RevMax,MED+RG,22556.0,11194.921319007874,11194.798953294754,0.0,2048,2048,100000,32,1,1
10,RevMax,MED+RG,34399.155722066724,18874.43502306938,18874.39791917801,0.0,3125,3125,100000,32,1,1
0,RevMax,RandGreedI,48.0,21.12597703933716,20.544309854507446,0.3967628479003906,4,4,100000,32,1,1
1,RevMax,RandGreedI,96.0,35.03924608230591,34.16012406349182,0.6892721652984619,8,8,100000,32,1,1
2,RevMax,RandGreedI,192.0,49.20135807991028,47.75281095504761,1.2642109394073486,16,16,100000,32,1,1
3,RevMax,RandGreedI,380.0,93.86092805862428,87.00676012039185,6.670387983322144,32,32,100000,32,1,1
4,RevMax,RandGreedI,732.0,205.18290400505063,140.14543509483337,64.85034704208374,64,64,100000,32,1,1
5,RevMax,RandGreedI,1436.0,565.4330971240997,260.80055379867554,304.44842195510864,128,128,100000,32,1,1
6,RevMax,RandGreedI,2844.0,2535.947291135788,471.1946330070496,2064.5699751377106,256,256,100000,32,1,1
7,RevMax,RandGreedI,5660.0,10290.516499996183,906.0632169246674,9384.26533293724,512,512,100000,32,1,1
0,RevMax,RandGreedI,48.0,20.69555902481079,20.10087895393372,0.4015450477600097,4,4,100000,32,1,1
1,RevMax,RandGreedI,96.0,21.53245687484741,20.64847493171692,0.6892919540405273,8,8,100000,32,1,1
2,RevMax,RandGreedI,192.0,49.39395904541016,47.931588888168335,1.2744340896606443,16,16,100000,32,1,1
3,RevMax,RandGreedI,380.0,89.41241002082825,82.51827812194824,6.706619024276733,32,32,100000,32,1,1
4,RevMax,RandGreedI,732.0,221.8596007823944,156.64284014701843,65.025545835495,64,64,100000,32,1,1
5,RevMax,RandGreedI,1436.0,666.2509438991547,274.5905251502991,391.4695129394531,128,128,100000,32,1,1
6,RevMax,RandGreedI,2844.0,2507.624503135681,513.1099328994751,1994.325220108032,256,256,100000,32,1,1
7,RevMax,RandGreedI,5660.0,9997.486221075058,909.9791309833528,9087.317857027054,512,512,100000,32,1,1
0,RevMax,RandGreedI,48.0,20.796121835708615,20.204132080078125,0.3973569869995117,4,4,100000,32,1,1
1,RevMax,RandGreedI,96.0,35.21725296974182,34.34263896942139,0.6863439083099365,8,8,100000,32,1,1
